News Title,Publisher name,Image url,Publisher image url,Publisher rectangle url,Updated,Link
"Fans sitting at staircase, smuggling laser pointers at AFF Cup semifinal, in violation of safety rules",Twentytwo13,https://image.luminews.my/q4dtem7sbkhirjoscjld24k0fmfq,https://image.luminews.my/zv912aa84otxnswv7kvgq2a2yl0k,https://image.luminews.my/6eh0heg5mrez6kuxq4cmqwk0uuzt,37 minutes ago,https://twentytwo13.my/sports/fans-sitting-at-staircase-smuggling-laser-pointers-at-aff-cup-semifinal-in-violation-of-safety-rules/?utm_source=rss&utm_medium=rss&utm_campaign=fans-sitting-at-staircase-smuggling-laser-pointers-at-aff-cup-semifinal-in-violation-of-safety-rules
PM Anwar Ibrahim accorded official welcome by Indonesian President,The Malaysian Reserve,https://image.luminews.my/7zt8l2hbwqn0ezg7e1or38rh0mbf,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,38 minutes ago,https://themalaysianreserve.com/2023/01/09/pm-anwar-ibrahim-accorded-official-welcome-by-indonesian-president/
Brasilia governor removed over pro-Bolsonaro riots,FMT News,https://image.luminews.my/x3bwdcms5aezmfjwiloqffh9f6c7,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,39 minutes ago,https://www.freemalaysiatoday.com/category/world/2023/01/09/brasilia-governor-removed-for-90-days/
Give road safety attention as urgent as Covid-19: UN special envoy tells govt,The Vibes,https://image.luminews.my/3u4rbwv80rvfqhx1hspz4jx5wwks,https://image.luminews.my/6s8zdom3g1ybn8psl194bno7sd5n,https://image.luminews.my/t7nf0vxw9xvmphhcy6y9klji1vkk,39 minutes ago,https://www.thevibes.com/articles/news/82322/give-road-safety-attention-as-urgent-as-covid-19-un-special-envoy-tells-govt
"Prasarana to spend RM2.8bil to improve train, bus services",FMT News,https://image.luminews.my/qdjjpiu6syxnzh66dyadk127vxa9,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,41 minutes ago,https://www.freemalaysiatoday.com/category/nation/2023/01/09/prasarana-to-spend-rm2-8bil-to-improve-train-bus-services/
Dredging works near Kuala Perlis jetty terminal to delay for another four months,New Straits Times,https://image.luminews.my/8ki1frj4r06wzdl135gopax3vqi7,https://image.luminews.my/2bdlab3q4ztmhga0m31k4he0xns0,https://image.luminews.my/uoq67kxxmbyd9s4o3a0hjajyjgqc,47 minutes ago,https://www.nst.com.my/news/nation/2023/01/868571/dredging-works-near-kuala-perlis-jetty-terminal-delay-another-four-months
It is better to postpone Umrah than to go into debt,Sinar Daily,https://image.luminews.my/zjfn2clkk430em6mj2pi4gyv5tdb,https://image.luminews.my/4pzezu81wj0vw6wudfwelgkjdtzu,https://image.luminews.my/x3ftcyp5wazqvgxg615x64rpfxyl,48 minutes ago,https://www.sinardaily.my/article/187949/malaysia/national/it-is-better-to-postpone-umrah-than-to-go-into-debt
Malaysia to raise umrah package price increase issue with Saudi Arabian govt,The Malaysian Reserve,https://image.luminews.my/grxbb0svmqmel5mtgi2b31izxvdd,https://image.luminews.my/r0umhz9dkk0q9nrcp5izrarl08k9,https://image.luminews.my/nv3vj8tzhixqzakuxyz9z1tw3o4z,51 minutes ago,https://themalaysianreserve.com/2023/01/09/malaysia-to-raise-umrah-package-price-increase-issue-with-saudi-arabian-govt/
Citigroup expects US Fed to raise rates near 5.5% by May,FMT News,https://image.luminews.my/t86m6et8ol0hnjh5rxtg4okdkz93,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,54 minutes ago,https://www.freemalaysiatoday.com/category/business/2023/01/09/citigroup-expects-us-fed-to-raise-rates-near-5-5-by-may/
"This Cat ‘Buys’ Fish With Leaves, But Some Are Not Buying The Story",The Rakyat Post,https://image.luminews.my/nuom8hca6una1n7bjeb29ztb9itv,https://image.luminews.my/fyd6tnm764q1b7w39z2fh10yl8nu,https://image.luminews.my/dcjibihy3jn5baph5jnuzvvuipws,57 minutes ago,https://www.therakyatpost.com/fun/2023/01/09/this-cat-buys-fish-with-leaves-but-some-are-not-buying-the-story/
Collins finds form in Adelaide warm-up,FMT News,https://image.luminews.my/s8nu97s55tckupwotvnykv1mah15,https://image.luminews.my/u2op38i1jt1zk587dounod4t9wda,https://image.luminews.my/2esdwcm6yzvqodrbz01x6tflkxlm,1 hour ago,https://www.freemalaysiatoday.com/category/sports/2023/01/09/collins-finds-form-in-adelaide-warm-up/
